Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
684,0.0441813,0.0017292,0.0030409
685,0.0470412,0.0016591,0.0031301
686,0.0555992,0.0105679,0.0033194
687,0.0447259,0.0048614,0.0028422
688,0.0421182,0.0017501,0.0031449
689,0.0427976,0.0017758,0.0030526
690,0.041784,0.001846,0.0030267
691,0.0450063,0.001818,0.0030287
692,0.0501136,0.0022922,0.0029822
693,0.0559886,0.010127,0.0029199
694,0.0465631,0.0032614,0.0122577
695,0.0425506,0.0017158,0.0035813
696,0.0420838,0.0017168,0.0032183
697,0.0421239,0.0016442,0.0030933
698,0.0440894,0.0017891,0.0029929
699,0.0428439,0.0017179,0.0031928
700,0.0431495,0.0019036,0.0034449
701,0.0433898,0.0022133,0.0031546
